ID,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
vraneda01,Danny Vranes,SF,29,PHI,57,13.5,0.9,2.1,0.438,0.0,0.1,0.0,0.9,2.1,0.449,0.438,0.3,0.6,0.0,0.8,1.3,2.1,0.6,0.5,0.6,0.4,1.8,2.1,7.0,0.444,0.025,0.289,6.7,10.9,8.8,6.3,1.7,2.6,15.5,8.8,-0.1,0.6,0.6,0.035,-3.0,1.3,-1.7,0.1
wagnemi01,Milt Wagner,SG,24,LAL,40,9.5,1.6,3.7,0.422,0.1,0.3,0.2,1.5,3.4,0.438,0.429,0.7,0.7,0.2,0.1,0.6,0.7,1.5,0.2,0.1,0.6,1.1,3.8,10.4,0.476,0.068,0.197,1.3,6.8,4.2,21.7,0.8,0.6,12.1,20.0,0.1,0.2,0.4,0.046,-3.0,-1.5,-4.5,-0.2
walkeda01,Darrell Walker,SG,26,WSB,52,18.1,2.2,5.6,0.392,0.0,0.1,0.0,2.2,5.5,0.4,0.392,1.6,2.0,0.0,0.8,1.6,2.4,1.9,1.2,0.2,1.3,2.0,6.0,10.6,0.46,0.021,0.361,5.1,10.1,7.5,14.7,3.2,0.6,17.0,17.8,-0.4,1.2,0.8,0.041,-2.7,2.0,-0.7,0.3
walkeke01,Kenny Walker,SF,23,NYK,82,26.1,4.2,8.9,0.473,0.0,0.0,0.0,4.2,8.9,0.473,0.473,1.7,2.2,0.0,2.3,2.4,4.7,1.0,0.8,0.7,1.0,3.5,10.1,12.3,0.512,0.001,0.245,10.0,10.9,10.4,5.8,1.4,1.7,9.3,16.9,2.5,2.3,4.7,0.106,-0.8,0.1,-0.7,0.7
washbch01,Chris Washburn,C,22,TOT,37,7.0,1.0,2.2,0.444,0.0,0.0,0.0,1.0,2.2,0.444,0.444,0.5,0.8,0.0,0.8,1.3,2.0,0.2,0.1,0.2,0.5,0.8,2.4,10.9,0.475,0.0,0.383,11.8,20.3,16.0,3.2,0.9,1.9,15.2,17.8,-0.1,0.3,0.2,0.035,-2.8,-2.3,-5.0,-0.2
washipe01,Pearl Washington,PG,24,NJN,68,20.3,3.6,8.0,0.448,0.2,0.7,0.224,3.4,7.3,0.47,0.458,1.9,2.8,0.224,0.8,0.9,1.7,3.0,1.3,0.1,2.1,2.4,9.3,13.1,0.502,0.09,0.346,4.4,5.6,5.0,23.6,3.2,0.2,18.3,23.6,-0.5,1.2,0.7,0.025,-1.8,-0.1,-1.9,0.0
webbsp01,Spud Webb,PG,24,ATL,82,16.4,2.3,4.9,0.475,0.0,0.2,0.053,2.3,4.7,0.496,0.476,1.3,1.6,0.053,0.2,1.6,1.8,4.1,0.8,0.1,1.6,1.5,6.0,14.8,0.533,0.047,0.326,1.3,10.8,6.0,34.3,2.3,0.5,22.2,18.5,0.9,1.4,2.3,0.082,-0.1,0.2,0.1,0.7
westma01,Mark West,C,27,TOT,83,25.3,3.8,6.9,0.551,0.0,0.0,0.0,3.8,6.9,0.552,0.551,2.0,3.4,0.0,2.0,4.3,6.3,0.9,0.6,1.8,2.1,3.2,9.7,13.1,0.574,0.002,0.497,9.2,19.5,14.4,5.0,1.1,4.1,19.9,17.4,0.4,2.7,3.1,0.071,-2.5,0.6,-2.0,0.0
wheelcl01,Clinton Wheeler,PG,28,IND,59,8.7,1.1,2.2,0.47,0.0,0.0,0.0,1.1,2.2,0.47,0.47,0.4,0.6,0.0,0.3,0.4,0.7,1.7,0.6,0.0,0.9,0.6,2.5,12.0,0.507,0.0,0.258,4.1,4.5,4.3,26.7,3.4,0.2,26.1,16.4,-0.2,0.6,0.4,0.039,-1.3,0.9,-0.4,0.2
whiteto01,Tony White,PG,22,TOT,49,11.9,2.3,5.1,0.446,0.0,0.1,0.0,2.3,5.0,0.457,0.446,0.8,1.1,0.0,0.2,0.4,0.6,1.2,0.4,0.0,1.0,1.2,5.3,9.4,0.478,0.024,0.217,2.2,3.8,3.0,15.0,1.6,0.2,14.7,22.3,-0.4,0.1,-0.3,-0.025,-3.3,-2.2,-5.4,-0.5
whiteje01,Jerome Whitehead,C,31,GSW,72,17.0,2.4,5.0,0.483,0.0,0.0,0.0,2.4,5.0,0.483,0.483,0.8,1.1,0.0,1.5,2.9,4.5,0.5,0.4,0.3,0.7,2.9,5.7,10.8,0.514,0.0,0.228,9.7,19.8,14.6,4.4,1.2,1.0,11.0,14.8,0.9,0.7,1.6,0.062,-2.8,-1.4,-4.2,-0.7
