ID,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
abdursh01,Shareef Abdur-Rahim,PF,27,TOT,85,31.6,5.9,12.4,0.475,0.1,0.4,0.265,5.8,12.0,0.482,0.48,4.4,5.0,0.265,2.2,5.3,7.5,2.0,0.8,0.4,2.2,2.6,16.3,19.9,0.557,0.032,0.407,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,6.1,2.0,8.1,0.145,2.3,-0.7,1.6,2.4
allenma01,Malik Allen,PF,25,MIA,45,13.7,1.8,4.4,0.419,0.0,0.0,0.0,1.8,4.4,0.419,0.419,0.6,0.7,0.0,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,10.5,0.449,0.0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.051,-3.7,-0.1,-3.8,-0.3
allenra02,Ray Allen,SG,28,SEA,56,38.4,8.0,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.392,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4.0,3.2
alstora01,Rafer Alston,PG,27,MIA,82,31.5,3.5,9.3,0.376,2.0,5.3,0.371,1.5,4.0,0.382,0.481,1.3,1.6,0.371,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,0.11,0.2,0.7,0.9,1.9
anderch01,Chris Andersen,PF,25,DEN,71,14.5,1.3,2.9,0.443,0.0,0.0,0.0,1.3,2.8,0.446,0.443,0.9,1.5,0.0,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,0.5,1.9,2.4,0.111,-2.2,2.7,0.4,0.6
anderde01,Derek Anderson,SG,29,POR,51,35.5,4.5,12.0,0.376,1.5,5.1,0.305,3.0,6.9,0.428,0.44,3.0,3.7,0.305,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.097,0.8,-0.5,0.3,1.0
anderke01,Kenny Anderson,PG,33,IND,44,20.6,2.6,5.8,0.441,0.0,0.1,0.25,2.5,5.7,0.444,0.443,0.8,1.1,0.25,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6.0,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,0.079,-2.3,0.6,-1.7,0.1
andersh01,Shandon Anderson,SG,30,NYK,80,24.7,3.0,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2.0,0.281,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,10.1,0.5,0.227,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,0.042,-2.4,0.1,-2.4,-0.2
anthoca01,Carmelo Anthony,SF,19,DEN,82,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5.0,6.4,0.322,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.1,1.6
archiro01,Robert Archibald,C-PF,23,TOT,32,8.0,0.3,1.0,0.273,0.0,0.0,0.0,0.3,1.0,0.273,0.273,0.4,1.0,0.0,0.7,1.0,1.6,0.4,0.4,0.1,0.3,1.6,1.0,5.6,0.343,0.0,0.939,9.4,14.0,11.7,7.9,3.0,0.9,17.7,10.7,-0.2,0.4,0.2,0.039,-6.7,2.2,-4.5,-0.1
arenagi01,Gilbert Arenas,PG,22,WAS,55,37.6,6.5,16.6,0.392,2.3,6.1,0.375,4.2,10.6,0.401,0.46,4.3,5.8,0.375,1.0,3.6,4.6,5.0,1.9,0.2,4.1,3.2,19.6,16.0,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1.0,0.1,1.1
armstbr01,Brandon Armstrong,SG,23,NJN,56,7.8,1.2,3.1,0.371,0.3,0.9,0.365,0.8,2.2,0.374,0.426,0.0,0.1,0.365,0.2,0.6,0.8,0.3,0.2,0.0,0.4,0.9,2.7,5.5,0.427,0.297,0.023,3.3,8.4,5.8,5.7,1.5,0.4,12.0,21.7,-0.8,0.5,-0.3,-0.03,-5.5,-2.0,-7.5,-0.6
armstda01,Darrell Armstrong,PG,35,NOH,79,28.4,3.7,9.3,0.395,1.7,5.4,0.315,2.0,3.9,0.508,0.487,1.6,1.8,0.315,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,2.8,2.5,5.3,0.114,1.3,1.1,2.4,2.5
arroyca01,Carlos Arroyo,PG,24,UTA,71,28.3,4.8,10.8,0.441,0.5,1.6,0.325,4.2,9.2,0.462,0.466,2.5,3.2,0.325,0.6,2.0,2.6,5.0,0.9,0.1,2.2,2.3,12.6,16.8,0.517,0.152,0.293,2.5,9.0,5.7,34.6,1.7,0.2,15.2,23.7,3.5,1.2,4.7,0.112,2.0,-1.1,0.9,1.5
atkinch01,Chucky Atkins,PG,29,TOT,64,24.1,3.0,7.6,0.397,1.3,3.8,0.336,1.7,3.8,0.457,0.48,1.1,1.5,0.336,0.1,1.3,1.5,3.5,0.7,0.0,1.4,1.6,8.4,12.1,0.511,0.498,0.2,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5,1.5,1.3,2.7,0.085,-0.3,-0.9,-1.1,0.3
augmost01,Stacey Augmon,SF,35,NOH,69,20.5,2.1,5.0,0.412,0.0,0.1,0.143,2.1,4.9,0.418,0.414,1.6,2.0,0.143,0.8,1.8,2.5,1.2,0.8,0.2,1.1,1.7,5.8,10.0,0.486,0.02,0.401,4.1,10.1,7.0,10.0,2.1,0.8,15.7,15.6,0.4,1.3,1.6,0.056,-3.1,0.3,-2.8,-0.3
bakervi01,Vin Baker,PF,32,TOT,54,24.3,3.9,8.0,0.481,0.0,0.1,0.333,3.8,7.9,0.483,0.483,2.1,2.9,0.333,2.1,3.1,5.2,1.2,0.5,0.6,1.4,3.0,9.8,14.8,0.53,0.007,0.363,10.0,14.4,12.2,9.0,1.1,1.9,13.3,20.1,1.7,1.1,2.8,0.101,-1.0,-1.1,-2.1,0.0
banksma01,Marcus Banks,PG,22,BOS,81,17.1,2.2,5.5,0.4,0.3,1.1,0.314,1.9,4.4,0.421,0.431,1.2,1.6,0.314,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9,11.0,0.48,0.195,0.296,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,-0.6,1.4,0.7,0.026,-3.4,0.4,-3.0,-0.4
barbole01,Leandro Barbosa,PG,21,PHO,70,21.4,3.0,6.7,0.447,1.2,3.0,0.395,1.8,3.7,0.488,0.535,0.7,0.9,0.395,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9,12.7,0.553,0.447,0.13,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,0.9,1.0,1.9,0.061,-1.3,0.5,-0.8,0.5
barnema02,Matt Barnes,SF,23,LAC,38,19.1,1.7,3.6,0.457,0.1,0.3,0.154,1.6,3.3,0.488,0.464,1.1,1.6,0.154,1.4,2.6,4.0,1.3,0.7,0.1,1.2,2.0,4.5,10.6,0.519,0.094,0.442,8.3,15.5,11.9,10.6,2.0,0.3,21.1,12.8,0.4,0.3,0.7,0.045,-1.4,-0.7,-2.2,0.0
barrybr01,Brent Barry,SG,32,SEA,59,30.6,3.6,7.2,0.504,1.9,4.3,0.452,1.7,3.0,0.577,0.637,1.5,1.9,0.452,0.4,3.1,3.5,5.8,1.4,0.3,2.4,2.1,10.8,18.3,0.668,0.59,0.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,4.9,0.7,5.7,0.151,3.2,0.1,3.2,2.4
barryjo01,Jon Barry,SG,34,DEN,57,19.3,2.1,5.2,0.404,0.9,2.4,0.37,1.2,2.8,0.434,0.49,1.1,1.2,0.37,0.4,1.7,2.2,2.6,1.0,0.1,0.9,1.2,6.2,14.6,0.535,0.465,0.239,2.5,10.2,6.3,20.6,2.7,0.5,13.9,15.2,1.7,1.1,2.8,0.122,0.8,1.2,2.0,1.1
battito01,Tony Battie,C,27,TOT,73,20.2,2.3,5.3,0.443,0.0,0.1,0.222,2.3,5.1,0.448,0.445,0.9,1.2,0.222,1.6,3.3,4.9,0.8,0.4,0.9,0.9,2.2,5.6,11.9,0.482,0.023,0.232,9.0,18.1,13.6,6.4,0.9,3.3,13.0,14.8,0.8,1.4,2.3,0.074,-2.2,-0.1,-2.4,-0.1
battish01,Shane Battier,SF,25,MEM,79,24.6,3.1,6.9,0.446,0.8,2.4,0.349,2.2,4.5,0.496,0.506,1.5,2.1,0.349,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5,15.3,0.544,0.343,0.302,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5,3.5,2.3,5.9,0.145,1.1,1.5,2.6,2.3
baxtelo01,Lonny Baxter,C-PF,25,TOT,62,12.4,1.7,3.4,0.493,0.0,0.0,0.333,1.6,3.3,0.495,0.495,0.7,1.2,0.333,1.0,2.0,3.0,0.3,0.3,0.5,0.6,2.0,4.0,12.6,0.518,0.014,0.364,9.4,18.5,13.9,4.8,1.2,2.8,13.6,17.2,0.5,1.0,1.5,0.094,-3.3,0.1,-3.2,-0.2
bellra01,Raja Bell,SG,27,UTA,82,24.6,4.0,9.8,0.409,0.8,2.0,0.373,3.3,7.8,0.418,0.447,2.4,3.0,0.373,0.7,2.2,2.9,1.3,0.8,0.2,1.4,3.2,11.2,12.7,0.5,0.206,0.308,3.6,11.3,7.4,10.2,1.7,0.5,10.8,23.6,2.2,1.5,3.7,0.088,-1.2,-0.8,-2.0,0.0
besttr01,Travis Best,PG,31,DAL,61,12.5,1.0,2.8,0.372,0.0,0.3,0.15,1.0,2.5,0.401,0.381,0.7,0.8,0.15,0.3,0.8,1.1,1.8,0.5,0.1,0.5,1.1,2.8,10.1,0.445,0.116,0.267,2.4,7.5,4.9,19.5,2.1,0.4,14.7,12.9,0.5,0.2,0.7,0.044,-2.8,-0.2,-3.0,-0.2
bibbymi01,Mike Bibby,PG,25,SAC,82,36.3,6.4,14.3,0.45,1.8,4.6,0.392,4.6,9.7,0.479,0.514,3.7,4.5,0.392,0.8,2.6,3.4,5.4,1.4,0.2,2.1,1.8,18.4,19.3,0.564,0.323,0.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,8.0,1.3,9.3,0.151,3.4,-1.0,2.4,3.3
billuch01,Chauncey Billups,PG,27,DET,78,35.4,5.0,12.8,0.394,1.7,4.3,0.388,3.4,8.5,0.396,0.459,5.2,5.9,0.388,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,18.6,0.55,0.336,0.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,7.1,4.2,11.3,0.198,3.1,0.5,3.6,3.9
blakest01,Steve Blake,PG,23,WAS,75,18.6,2.1,5.4,0.386,1.0,2.7,0.371,1.1,2.7,0.4,0.478,0.7,0.9,0.371,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9,10.9,0.509,0.496,0.165,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9,0.1,0.7,0.7,0.026,-1.5,-1.2,-2.7,-0.2
blounco01,Corie Blount,PF-C,35,TOT,62,16.9,1.9,4.1,0.455,0.0,0.0,0.0,1.9,4.0,0.46,0.455,0.2,0.4,0.0,1.6,2.9,4.4,0.9,0.8,0.4,0.7,2.2,4.0,11.9,0.462,0.012,0.107,10.1,19.1,14.5,9.0,2.5,1.7,14.0,13.3,0.3,1.6,1.9,0.085,-2.5,1.0,-1.4,0.1
blounma01,Mark Blount,C,28,BOS,82,29.3,4.2,7.4,0.566,0.0,0.0,0.0,4.2,7.4,0.566,0.566,1.9,2.7,0.0,2.5,4.7,7.2,0.9,1.0,1.3,1.8,3.1,10.3,16.0,0.601,0.0,0.366,10.1,17.9,14.0,5.4,1.7,3.4,17.6,16.1,3.7,2.9,6.5,0.131,-0.6,0.1,-0.5,0.9
boganke01,Keith Bogans,SF,23,ORL,73,24.5,2.5,6.2,0.403,0.9,2.6,0.358,1.6,3.7,0.434,0.477,0.9,1.4,0.358,1.5,2.9,4.3,1.3,0.6,0.1,1.0,1.8,6.8,11.0,0.499,0.412,0.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,1.3,0.0,1.3,0.034,-0.5,-2.0,-2.4,-0.2
boothca01,Calvin Booth,C,27,SEA,71,17.0,1.9,4.1,0.466,0.0,0.0,0.0,1.9,4.1,0.469,0.466,1.1,1.3,0.0,1.2,2.7,3.9,0.4,0.2,1.4,0.6,2.1,4.9,13.6,0.521,0.007,0.324,8.5,18.8,13.7,3.7,0.8,6.3,12.0,14.4,1.3,0.9,2.2,0.088,-2.2,0.3,-1.8,0.0
boozeca01,Carlos Boozer,PF,22,CLE,75,34.6,6.3,12.0,0.523,0.0,0.1,0.167,6.3,11.9,0.526,0.524,2.9,3.8,0.167,3.1,8.4,11.4,2.0,1.0,0.7,1.8,2.7,15.5,20.8,0.567,0.007,0.317,9.8,26.8,18.3,10.3,1.5,1.5,11.6,20.0,6.1,3.4,9.4,0.174,2.4,-0.2,2.1,2.7
boshch01,Chris Bosh,C,19,TOR,75,33.5,4.4,9.5,0.459,0.1,0.2,0.357,4.3,9.3,0.461,0.463,2.7,3.8,0.357,2.5,4.9,7.4,1.0,0.8,1.4,1.4,2.9,11.5,15.1,0.513,0.02,0.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,2.5,3.8,6.2,0.119,-1.2,0.5,-0.8,0.8
bowenbr01,Bruce Bowen,SF,32,SAS,82,32.0,2.6,6.1,0.42,0.9,2.6,0.363,1.6,3.5,0.462,0.497,0.8,1.4,0.363,0.5,2.5,3.1,1.4,1.0,0.4,1.1,2.0,6.9,8.2,0.512,0.422,0.227,1.9,8.8,5.4,6.7,1.7,0.9,14.0,11.3,0.8,4.6,5.4,0.098,-2.6,2.2,-0.5,1.0
bowenry01,Ryan Bowen,PF,28,DEN,52,7.5,0.3,1.0,0.34,0.0,0.0,0.0,0.3,1.0,0.34,0.34,0.2,0.2,0.0,0.8,0.9,1.7,0.3,0.3,0.3,0.1,0.9,0.9,9.9,0.395,0.0,0.226,11.1,14.0,12.5,6.4,2.4,2.9,9.3,7.2,0.3,0.5,0.8,0.097,-2.1,1.8,-0.3,0.2
boykiea01,Earl Boykins,SG,27,DEN,82,22.5,3.9,9.3,0.419,0.7,2.1,0.322,3.2,7.3,0.447,0.455,1.7,2.0,0.322,0.5,1.2,1.7,3.6,0.6,0.0,1.2,1.0,10.2,16.2,0.501,0.223,0.211,2.5,6.3,4.4,27.3,1.4,0.1,10.7,22.2,3.3,0.8,4.1,0.105,2.0,-1.5,0.5,1.2
bradlsh01,Shawn Bradley,C,31,DAL,66,11.7,1.3,2.8,0.473,0.0,0.0,0.0,1.3,2.8,0.476,0.473,0.6,0.7,0.0,1.1,1.5,2.6,0.3,0.5,1.1,0.3,2.0,3.3,15.6,0.523,0.005,0.261,9.9,14.6,12.2,3.6,2.2,7.1,7.5,12.8,1.5,0.9,2.3,0.145,-1.5,1.6,0.1,0.4
