ID,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
abdulka01,Kareem Abdul-Jabbar,C,32,LAL,82,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.0,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,25.3,0.639,0.001,0.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,9.5,5.3,14.8,0.227,4.8,2.4,7.2,7.3
abernto01,Tom Abernethy,PF,25,GSW,67,18.2,2.3,4.7,0.481,0.0,0.0,0.0,2.3,4.7,0.483,0.481,0.8,1.2,0.0,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4,11.0,0.511,0.003,0.258,5.4,12.0,8.6,9.3,1.4,0.6,9.9,13.3,1.2,0.8,2.0,0.08,-1.0,-0.2,-1.2,0.2
adamsal01,Alvan Adams,C,25,PHO,75,28.9,6.2,11.7,0.531,0.0,0.0,0.0,6.2,11.6,0.533,0.531,2.5,3.1,0.0,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9,19.2,0.571,0.002,0.27,8.2,22.4,15.4,21.6,2.3,1.4,18.2,21.9,3.1,3.9,7.0,0.155,1.7,1.9,3.6,3.1
architi01,Tiny Archibald,PG,31,BOS,80,35.8,4.8,9.9,0.482,0.1,0.2,0.222,4.7,9.7,0.488,0.485,4.5,5.4,0.222,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1,15.3,0.574,0.023,0.548,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17.0,5.9,2.9,8.9,0.148,1.4,-0.3,1.1,2.3
baileja01,James Bailey,PF,22,SEA,67,10.8,1.8,4.0,0.45,0.0,0.0,0.0,1.8,4.0,0.45,0.45,1.0,1.5,0.0,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7,12.3,0.495,0.0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,-0.4,1.4,1.0,0.063,-4.2,0.9,-3.3,-0.2
ballagr01,Greg Ballard,SF,25,WSB,82,29.7,6.6,13.4,0.495,0.2,0.6,0.34,6.5,12.9,0.502,0.502,2.1,2.8,0.34,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6,18.1,0.532,0.043,0.206,9.8,16.6,13.1,9.7,1.7,0.8,10.0,21.6,4.1,2.8,6.9,0.136,1.9,0.1,2.0,2.5
bantomi01,Mike Bantom,SF,28,IND,77,30.3,5.0,9.9,0.505,0.0,0.0,0.333,5.0,9.8,0.506,0.506,1.8,2.7,0.333,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8,13.7,0.533,0.004,0.275,8.3,12.1,10.1,15.9,1.7,1.1,18.2,17.3,2.1,1.9,3.9,0.081,-0.3,-0.5,-0.7,0.7
barryri01,Rick Barry,SF,35,HOU,72,25.2,4.5,10.7,0.422,1.0,3.1,0.33,3.5,7.6,0.458,0.469,2.0,2.1,0.33,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0,14.8,0.517,0.287,0.198,3.1,11.5,7.2,20.4,2.1,0.9,15.3,21.6,2.2,1.2,3.4,0.09,1.1,0.0,1.1,1.4
bensoke01,Kent Benson,C,25,TOT,73,25.9,4.1,8.5,0.484,0.0,0.1,0.2,4.1,8.4,0.486,0.485,1.4,1.9,0.2,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6,13.1,0.513,0.008,0.228,7.3,18.3,12.9,12.2,1.8,2.7,18.8,17.4,0.4,2.7,3.2,0.08,-1.6,1.4,-0.3,0.8
beshode01,Del Beshore,PG,23,CHI,68,12.8,1.3,3.7,0.352,0.1,0.4,0.385,1.1,3.3,0.348,0.372,0.9,1.3,0.385,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6,6.4,0.423,0.104,0.348,2.1,5.9,4.1,21.5,3.1,0.3,26.5,18.4,-1.7,0.8,-0.9,-0.052,-5.0,-0.1,-5.1,-0.7
bibbyhe01,Henry Bibby,PG,30,PHI,82,24.8,3.1,7.6,0.401,0.1,0.6,0.212,2.9,7.0,0.418,0.41,2.8,3.5,0.212,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0,11.1,0.491,0.083,0.457,3.6,7.1,5.4,19.8,1.4,0.2,16.4,17.7,1.3,2.1,3.4,0.079,-1.7,-0.5,-2.2,-0.1
birdla01,Larry Bird,PF,23,BOS,82,36.0,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.406,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.538,0.098,0.246,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,5.6,5.6,11.2,0.182,3.0,1.5,4.5,4.8
birdsot01,Otis Birdsong,SG,24,KCK,82,35.2,9.5,18.9,0.505,0.1,0.4,0.278,9.4,18.4,0.511,0.508,3.5,5.0,0.278,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7,18.5,0.538,0.023,0.266,6.1,6.2,6.1,11.1,2.2,0.4,9.4,26.4,4.9,3.7,8.6,0.143,2.0,0.1,2.1,3.0
boonero01,Ron Boone,SG,33,TOT,81,29.5,5.0,11.3,0.443,0.2,0.6,0.38,4.8,10.7,0.446,0.453,2.2,2.4,0.38,0.7,2.1,2.8,3.8,1.2,0.0,2.4,2.9,12.4,12.1,0.501,0.055,0.214,2.7,8.1,5.5,18.8,2.0,0.1,16.4,21.5,0.4,0.6,1.0,0.02,-1.8,-1.7,-3.5,-1.0
bosweto01,Tom Boswell,PF,26,TOT,79,26.3,4.4,7.8,0.564,0.1,0.1,0.5,4.3,7.6,0.566,0.569,2.6,3.5,0.5,1.8,3.7,5.6,2.0,0.4,0.5,2.3,3.4,11.4,14.3,0.616,0.016,0.445,8.2,15.8,12.1,11.2,0.7,1.0,19.8,18.5,3.0,0.7,3.7,0.086,-0.4,-1.4,-1.8,0.1
boynewi01,Winford Boynes,SG,22,NJN,64,17.2,3.5,7.3,0.473,0.0,0.1,0.0,3.5,7.2,0.477,0.473,1.6,2.1,0.0,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5,13.1,0.518,0.009,0.291,4.8,7.7,6.3,12.8,2.4,0.9,15.4,21.8,0.3,1.3,1.7,0.072,-1.5,0.3,-1.2,0.2
bradldu01,Dudley Bradley,SG,22,IND,82,24.7,3.4,7.4,0.452,0.0,0.1,0.4,3.3,7.4,0.452,0.453,1.7,2.1,0.4,0.8,1.9,2.7,3.1,2.6,0.6,2.0,2.4,8.4,13.5,0.502,0.008,0.286,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,0.2,2.9,3.1,0.073,-2.0,3.0,1.0,1.5
bratzmi01,Mike Bratz,PG,24,PHO,82,19.4,3.3,8.4,0.392,0.3,1.0,0.244,3.0,7.3,0.413,0.407,1.7,2.0,0.244,0.6,1.4,2.0,2.7,1.1,0.1,1.6,2.0,8.5,11.6,0.462,0.125,0.236,3.5,7.9,5.8,19.1,2.7,0.3,15.1,22.3,-0.5,2.0,1.5,0.046,-2.5,0.1,-2.5,-0.2
breweji01,Jim Brewer,PF,28,POR,67,15.2,1.3,2.7,0.489,0.0,0.1,0.0,1.3,2.7,0.503,0.489,0.2,0.4,0.0,1.5,2.3,3.8,1.1,0.6,0.6,0.7,1.9,2.9,11.3,0.493,0.027,0.158,10.8,17.1,13.9,9.6,2.0,2.5,19.3,9.8,0.5,1.5,2.0,0.096,-1.2,1.9,0.7,0.7
brewero01,Ron Brewer,SG,24,POR,82,34.3,6.7,14.4,0.464,0.1,0.4,0.188,6.6,14.0,0.471,0.466,2.2,2.7,0.188,0.7,2.0,2.6,2.6,1.2,0.6,2.0,1.9,15.7,13.2,0.503,0.027,0.185,2.1,6.3,4.2,11.5,1.7,1.0,11.6,21.1,2.0,2.3,4.3,0.074,-0.8,-0.4,-1.2,0.6
bridgju01,Junior Bridgeman,SF,26,MIL,81,28.6,7.3,15.3,0.478,0.1,0.3,0.185,7.3,15.0,0.484,0.48,2.8,3.3,0.185,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6,17.1,0.523,0.022,0.214,5.0,9.0,7.1,15.2,1.9,0.5,11.2,26.3,3.6,2.5,6.1,0.127,0.9,-0.5,0.3,1.4
bristal01,Allan Bristow,SF,28,UTA,82,28.1,4.6,9.6,0.48,0.0,0.1,0.286,4.6,9.5,0.482,0.482,2.4,3.0,0.286,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6,16.6,0.534,0.009,0.31,9.0,16.7,13.0,21.4,1.9,0.1,16.7,20.0,3.2,1.2,4.4,0.091,1.4,-0.8,0.6,1.5
brownfr01,Fred Brown,SG,31,SEA,80,21.3,5.1,10.5,0.479,0.5,1.1,0.443,4.6,9.4,0.483,0.502,1.4,1.7,0.443,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12.0,16.4,0.532,0.104,0.16,2.2,7.5,4.8,15.5,1.8,0.6,10.4,23.4,2.8,2.1,4.9,0.138,1.2,0.2,1.4,1.4
brownjo01,John Brown,SF,28,TOT,32,12.0,1.2,3.3,0.352,0.0,0.0,0.0,1.2,3.3,0.352,0.352,1.2,1.5,0.0,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5,5.1,0.444,0.0,0.457,7.4,12.7,10.0,6.3,0.4,0.6,18.7,16.5,-0.3,0.4,0.1,0.012,-5.0,-0.9,-5.9,-0.5
bryanjo01,Joe Bryant,PF,25,SDC,81,28.7,3.6,8.4,0.431,0.1,0.4,0.147,3.6,8.0,0.446,0.435,2.0,2.7,0.147,2.1,4.3,6.4,1.8,1.3,0.5,2.1,3.2,9.3,11.1,0.485,0.05,0.318,7.7,16.6,12.0,8.1,2.1,0.9,17.9,16.3,0.1,1.7,1.8,0.038,-2.3,-0.2,-2.5,-0.3
bucknqu01,Quinn Buckner,PG,25,MIL,67,25.2,4.6,9.8,0.467,0.0,0.1,0.4,4.5,9.7,0.468,0.469,1.6,2.1,0.4,1.0,2.5,3.6,5.7,2.0,0.1,2.2,3.0,10.7,16.5,0.501,0.008,0.218,4.6,10.5,7.6,30.2,3.7,0.1,17.2,20.4,1.7,2.7,4.4,0.125,-0.2,1.9,1.7,1.6
burleto01,Tom Burleson,C,27,KCK,37,7.4,1.0,2.8,0.346,0.0,0.1,0.0,1.0,2.7,0.356,0.346,0.6,1.1,0.0,0.6,1.3,1.9,0.5,0.2,0.4,0.7,1.3,2.6,7.8,0.391,0.029,0.385,8.7,20.0,14.2,9.5,1.4,2.8,17.1,21.5,-0.6,0.5,-0.1,-0.012,-5.7,0.4,-5.3,-0.2
busedo01,Don Buse,PG,29,PHO,81,30.9,3.2,7.3,0.443,0.2,1.0,0.241,3.0,6.3,0.475,0.459,1.0,1.6,0.241,0.9,2.0,2.9,4.0,1.6,0.1,1.1,1.4,7.7,10.7,0.485,0.134,0.217,3.1,7.0,5.1,16.0,2.4,0.2,12.4,11.7,1.7,2.9,4.6,0.088,-1.1,1.2,0.2,1.4
byrnema01,Marty Byrnes,SF,23,LAL,32,6.1,0.8,1.6,0.5,0.0,0.0,0.0,0.8,1.6,0.5,0.5,0.4,0.5,0.0,0.3,0.6,0.8,0.4,0.2,0.0,0.7,1.0,2.0,6.3,0.557,0.0,0.3,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,-0.1,0.2,0.0,0.009,-4.4,-0.9,-5.2,-0.2
calvima01,Mack Calvin,PG,32,UTA,48,16.1,2.1,4.7,0.441,0.0,0.2,0.091,2.1,4.5,0.458,0.443,2.2,2.4,0.091,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4,14.5,0.549,0.048,0.515,2.0,10.4,6.4,24.0,1.7,0.0,17.0,18.7,1.2,0.2,1.4,0.085,-0.4,-1.3,-1.7,0.1
carrau01,Austin Carr,SG,31,CLE,77,20.7,5.1,10.9,0.465,0.0,0.1,0.333,5.0,10.8,0.466,0.466,1.6,2.2,0.333,1.1,1.1,2.1,1.9,0.5,0.0,1.4,1.6,11.8,14.3,0.497,0.007,0.205,5.1,5.8,5.5,13.2,1.1,0.1,10.6,24.6,1.3,0.6,2.0,0.059,0.1,-1.8,-1.7,0.1
carrke01,Kenny Carr,PF,24,TOT,79,23.3,4.8,9.7,0.492,0.0,0.1,0.0,4.8,9.7,0.495,0.492,2.2,3.3,0.0,2.5,4.9,7.4,1.0,0.8,0.7,1.9,3.1,11.8,15.9,0.526,0.005,0.342,11.0,23.3,16.9,5.6,1.6,1.5,14.8,21.7,1.4,2.3,3.8,0.099,-0.6,-0.6,-1.2,0.3
