ID,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
acyqu01,Quincy Acy,PF,25,SAC,59,14.8,2.0,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.388,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,1.8,0.7,2.5,0.137,-0.2,0.2,-0.1,0.4
adamsst01,Steven Adams,C,22,OKC,80,25.2,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.613,0.613,1.4,2.5,0.0,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.0,0.2,0.2,1.1
afflaar01,Arron Afflalo,SG,30,NYK,71,33.4,5.0,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.382,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-1.3,-1.6,-2.9,-0.5
ajincal01,Alexis Ajinça,C,27,NOP,59,14.6,2.5,5.3,0.476,0.0,0.0,0.0,2.5,5.3,0.478,0.476,0.9,1.1,0.0,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.058,-3.4,-0.6,-4.0,-0.4
aldrico01,Cole Aldrich,C,27,LAC,60,13.3,2.2,3.8,0.596,0.0,0.0,0.0,2.2,3.8,0.596,0.596,1.0,1.4,0.0,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,21.3,0.626,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,1.4,2.0,3.5,0.209,-0.9,3.4,2.4,0.9
aldrila01,LaMarcus Aldridge,PF,30,SAS,74,30.6,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.0,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,2.0,0.3,2.3,2.5
allenla01,Lavoy Allen,PF,26,IND,79,20.2,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.516,0.516,0.6,0.9,0.0,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4,12.4,0.532,0.0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-1.7,0.1,-1.6,0.2
allento01,Tony Allen,SG,34,MEM,64,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.357,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.072,-2.2,1.2,-1.0,0.4
aminual01,Al-Farouq Aminu,SF,25,POR,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,2.1,4.5,0.468,0.503,1.4,1.9,0.361,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.082,-0.2,0.2,0.1,1.2
anderja01,James Anderson,SG,26,SAC,51,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.9,1.8,0.478,0.441,0.4,0.6,0.267,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.6,-4.5,-0.5
anderju01,Justin Anderson,SF,22,DAL,55,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1.0,0.265,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-1.1,1.4,0.3,0.4
anderky01,Kyle Anderson,SF,22,SAS,78,16.0,1.8,3.8,0.468,0.2,0.5,0.324,1.6,3.3,0.488,0.488,0.8,1.1,0.324,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.7,3.1,1.4,1.1
